Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,formatted_date
269,Shajapur,Shajapur,Onion,Onion,FAQ,3397,3438,3438,10 Sep 2024,10-09-2024
270,Shajapur,Shajapur,Onion,Onion,FAQ,2569,3210,3210,09 Aug 2024,09-08-2024
271,Shajapur,Shajapur,Onion,Onion,FAQ,850,1100,2052,15 Jun 2024,15-06-2024
272,Shajapur,Shajapur,Onion,Medium,FAQ,250,1600,480,12 Mar 2024,12-03-2024
273,Shajapur,Shajapur,Onion,Onion,FAQ,1350,2505,2518,27 Jun 2024,27-06-2024
274,Shajapur,Shajapur,Onion,Onion,FAQ,1226,1346,1500,28 May 2024,28-05-2024
275,Shajapur,Shajapur,Onion,Medium,FAQ,839,3000,2324,11 Jul 2024,11-07-2024
276,Shajapur,Shajapur,Onion,Nasik,FAQ,1700,1700,1800,29 Feb 2024,29-02-2024
277,Shajapur,Shajapur,Onion,Medium,FAQ,190,1851,1851,16 Apr 2024,16-04-2024
278,Shajapur,Shajapur,Onion,Medium,FAQ,688,2897,2210,03 Jul 2024,03-07-2024
279,Shajapur,Shajapur,Onion,Onion,FAQ,2200,2652,2652,03 Aug 2024,03-08-2024
280,Shajapur,Shajapur,Onion,Medium,FAQ,130,1287,655,01 Feb 2024,01-02-2024
281,Shajapur,Shajapur,Onion,Onion,FAQ,500,1565,1565,03 Apr 2024,03-04-2024
282,Shajapur,Shajapur,Onion,Medium,FAQ,1300,3700,3339,10 Sep 2024,10-09-2024
283,Shajapur,Shajapur,Onion,Medium,FAQ,100,1656,100,17 Jan 2024,17-01-2024
284,Shajapur,Shajapur,Onion,Onion,FAQ,1332,1332,643,22 Apr 2024,22-04-2024
285,Shajapur,Shajapur,Onion,Medium,FAQ,100,1255,1098,12 Feb 2024,12-02-2024
286,Shajapur,Shajapur,Onion,Onion-Organic,FAQ,472,472,1803,06 Jun 2024,06-06-2024
287,Shajapur,Shajapur,Onion,Medium,FAQ,305,1619,1619,09 May 2024,09-05-2024
288,Shajapur,Shajapur,Onion,Onion,FAQ,2532,2532,2434,21 Jun 2024,21-06-2024
289,Shajapur,Shajapur,Onion,Onion,FAQ,750,1440,978,22 Feb 2024,22-02-2024
290,Shajapur,Shajapur,Onion,Medium,FAQ,807,2882,2718,05 Jul 2024,05-07-2024
291,Shajapur,Shajapur,Onion,Medium,FAQ,200,1420,1565,03 Apr 2024,03-04-2024
292,Shajapur,Shajapur,Onion,Onion,FAQ,2665,2665,2665,30 Jul 2024,30-07-2024
293,Shajapur,Shajapur,Onion,Medium,FAQ,866,3253,2607,08 Aug 2024,08-08-2024
294,Shajapur,Shajapur,Onion,Onion,FAQ,946,1176,441,06 Feb 2024,06-02-2024
295,Shajapur,Shajapur,Onion,Onion,FAQ,3000,3500,3500,21 Aug 2024,21-08-2024
296,Shajapur,Shajapur,Onion,Onion,FAQ,1294,1381,1000,21 May 2024,21-05-2024
297,Shajapur,Shajapur,Onion,Onion,FAQ,600,1014,600,16 Mar 2024,16-03-2024
298,Shajapur,Shajapur,Onion,Medium,FAQ,352,1674,1000,21 May 2024,21-05-2024
299,Shajapur,Shajapur,Onion,Medium,FAQ,987,3239,3048,10 Aug 2024,10-08-2024
300,Shajapur,Shajapur,Onion,Onion,FAQ,720,720,650,30 Jan 2024,30-01-2024
301,Shajapur,Shajapur,Onion,Onion,FAQ,3000,3150,3150,20 Aug 2024,20-08-2024
302,Shajapur,Shajapur,Onion,Onion,FAQ,792,1127,200,05 Feb 2024,05-02-2024
303,Shajapur,Shajapur,Onion,Medium,FAQ,500,2344,1811,11 Jun 2024,11-06-2024
304,Shajapur,Shajapur,Onion,Medium,FAQ,537,2141,537,11 Jan 2024,11-01-2024
305,Shajapur,Shajapur,Onion,Onion,FAQ,800,1511,400,19 Feb 2024,19-02-2024
306,Shajapur,Shajapur,Onion,Medium,FAQ,286,1713,1293,09 Mar 2024,09-03-2024
307,Shajapur,Shajapur,Onion,Medium,FAQ,217,1800,1800,29 Feb 2024,29-02-2024
308,Shajapur,Shajapur,Onion,Medium,FAQ,200,1169,200,05 Feb 2024,05-02-2024
309,Shajapur,Shajapur,Onion,Medium,FAQ,873,16000,3153,13 Aug 2024,13-08-2024
310,Shajapur,Shajapur,Onion,Onion,FAQ,2000,3000,3000,13 Sep 2024,13-09-2024
311,Shajapur,Shajapur,Onion,Medium,FAQ,480,2915,2729,24 Jun 2024,24-06-2024
312,Shajapur,Shajapur,Onion,Medium,FAQ,210,1468,1787,15 Apr 2024,15-04-2024
313,Shajapur,Shajapur,Onion,Medium,FAQ,403,1934,1061,05 Jun 2024,05-06-2024
314,Shajapur,Shajapur,Onion,Onion,FAQ,2680,3528,3528,28 Aug 2024,28-08-2024
315,Shajapur,Shajapur,Onion,Medium,FAQ,364,7472,7472,29 May 2024,29-05-2024
316,Shajapur,Shajapur,Onion,Red,FAQ,3141,3141,3141,13 Aug 2024,13-08-2024
317,Shajapur,Shajapur,Onion,Onion,FAQ,500,500,125,25 Jan 2024,25-01-2024
318,Shajapur,Shajapur,Onion,Onion,FAQ,689,1360,336,23 Jan 2024,23-01-2024
319,Shajapur,Shajapur,Onion,Medium,FAQ,280,1350,1350,02 Apr 2024,02-04-2024
320,Shajapur,Shajapur,Onion,Onion,FAQ,1284,1284,1400,24 Apr 2024,24-04-2024
321,Shajapur,Shajapur,Onion,Onion,FAQ,954,954,1449,08 Apr 2024,08-04-2024
322,Shajapur,Shajapur,Onion,Medium,FAQ,414,1571,1571,30 Apr 2024,30-04-2024
323,Shajapur,Shajapur,Onion,Medium,FAQ,351,1334,351,06 Jan 2024,06-01-2024
324,Shajapur,Shajapur,Onion,Medium,FAQ,342,1931,1856,04 Jun 2024,04-06-2024
