Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,formatted_date
1,Shajapur,Shajapur,Onion,Medium,FAQ,340,1582,1142,09 Jan 2024,09-01-2024
2,Shajapur,Shajapur,Onion,Medium,FAQ,340,2011,340,10 Jan 2024,10-01-2024
3,Shajapur,Shajapur,Onion,Medium,FAQ,351,1334,351,06 Jan 2024,06-01-2024
4,Shajapur,Shajapur,Onion,Medium,FAQ,377,1726,377,08 Jan 2024,08-01-2024
5,Shajapur,Shajapur,Onion,Medium,FAQ,463,1468,463,05 Jan 2024,05-01-2024
6,Shajapur,Shajapur,Onion,Medium,FAQ,755,1880,755,02 Jan 2024,02-01-2024
7,Shajapur,Shajapur,Onion,Medium,FAQ,997,1898,997,04 Jan 2024,04-01-2024
8,Shajapur,Shajapur,Onion,Medium,FAQ,1015,2150,1015,03 Jan 2024,03-01-2024
9,Shajapur,Shajapur,Onion,Medium,FAQ,1179,1780,1179,01 Jan 2024,01-01-2024
10,Shajapur,Shajapur,Onion,Onion,FAQ,1201,1902,997,04 Jan 2024,04-01-2024
11,Shajapur,Shajapur,Onion,Onion,FAQ,1412,1412,351,06 Jan 2024,06-01-2024
12,Shajapur,Shajapur,Onion,Onion,FAQ,1551,1551,463,05 Jan 2024,05-01-2024
