Index,Value
324,Pepper garbled
325,Pepper ungarbled
326,Perandai
327,Persimon(Japani Fal)
328,Pigs
329,Pineapple
330,pippali
331,Plum
332,Pointed gourd (Parval)
333,Polherb
334,Pomegranate
335,Poppy capsules
336,poppy seeds
337,Potato
338,Pumpkin
339,Pundi
340,Pundi Seed
341,Pupadia
342,Raddish
343,Ragi (Finger Millet)
344,Raibel
345,Rajgir
346,Rala
347,Ram
348,Ramphal
349,Rat Tail Radish (Mogari)
350,Ratanjot
351,Raya
352,Rayee
353,Red Cabbage
354,Red Gram
355,Resinwood
356,Riccbcan
357,Rice
358,Ridgeguard(Tori)
359,Rose(Local)
360,Rose(Loose))
361,Rose(Tata)
362,Round gourd
363,Rubber
364,Sabu Dan
365,Safflower
366,Saffron
367,Sajje
368,salvia
369,Same/Savi
370,sanay
371,Sandalwood
372,Sarasum
373,Season Leaves
374,Seegu
375,Seemebadnekai
376,Seetapal
377,"Sesamum(Sesame,Gingelly,Til)"
378,sevanti
379,She Buffalo
380,She Goat
381,Sheep
382,Siddota
383,Siru Kizhagu
384,Skin And Hide
385,Snakeguard
386,Soanf
387,Soapnut(Antawala/Retha)
388,Soha
389,Soji
390,Sompu
391,Soyabean
392,spikenard
393,Spinach
394,Sponge gourd
395,Squash(Chappal Kadoo)
396,stevia
397,stone pulverizer
398,Sugar
399,Sugarcane
400,Sundaikai
401,Sunflower
402,Sunflower Seed
403,Sunhemp
404,Suram
405,Surat Beans (Papadi)
406,Suva (Dill Seed)
407,Suvarna Gadde
408,Sweet Potato
409,Sweet Pumpkin
410,Sweet Sultan
411,sweet william
412,T.V. Cumbu
413,Tamarind Fruit
414,Tamarind Seed
415,Tapioca
416,Taramira
417,Tea
418,Tender Coconut
419,Thinai (Italian Millet)
420,Thogrikai
421,Thondekai
422,Tinda
423,Tobacco
424,Tomato
425,Torchwood
426,Toria
427,Tube Flower
428,Tube Rose(Double)
429,Tube Rose(Loose)
430,Tube Rose(Single)
431,Tulasi
432,tulip
433,Turmeric
434,Turmeric (raw)
435,Turnip
436,vadang
437,Vatsanabha
438,Walnut
439,Water Apple
440,Water chestnut
441,Water Melon
442,Wax
443,Wheat
444,Wheat Atta
445,White Muesli
446,White Peas
447,White Pumpkin
448,Wild lemon
449,Wood
450,Wood Apple
451,Wool
452,Yam
453,Yam (Ratalu)



Index,Value
42,Beans
156,Garlic
293,Mustard
305,Onion
307,Orange
337,Potato
357,Rice
391,Soyabean
408,Sweet Potato
424,Tomato
443,Wheat
