Index,Value
0,--Select--
1,Agar
2,Akodiya
3,Akodiya(F&V)
4,Badod
5,Berachha
6,Bercha(F&V)
7,Kalapipal
8,Kalapipal(F&V)
9,Maksi
10,Maksi(F&V)
11,Momanbadodiya
12,Momanbadodiya(F&V)
13,Nalkehda
14,Shajapur
15,Shajapur(F&V)
16,Shujalpur
17,Shujalpur(F&V)
18,Soyatkalan
19,Susner
