Index,Value
177,"('265', 'Green Gram Dal (Moong Dal)')"
178,"('50', 'Green Peas')"
179,"('267', 'Ground Nut Oil')"
180,"('268', 'Ground Nut Seed')"
181,"('10', 'Groundnut')"
182,"('314', 'Groundnut (Split)')"
183,"('312', 'Groundnut pods (raw)')"
184,"('75', 'Guar')"
185,"('413', 'Guar Seed(Cluster Beans Seed)')"
186,"('185', 'Guava')"
187,"('453', 'Gudmar')"
188,"('454', 'Guggal')"
189,"('461', 'gulli')"
190,"('74', 'Gur(Jaggery)')"
191,"('279', 'Gurellu')"
192,"('469', 'gypsophila')"
193,"('252', 'Haralekai')"
194,"('512', 'Harrah')"
195,"('216', 'He Buffalo')"
196,"('474', 'Heliconia species')"
197,"('369', 'Hen')"
198,"('125', 'Hippe Seed')"
199,"('236', 'Honey')"
200,"('124', 'Honge seed')"
201,"('119', 'Hybrid Cumbu')"
202,"('473', 'hydrangea')"
203,"('299', 'Indian Beans (Seam)')"
204,"('344', 'Indian Colza(Sarson)')"
205,"('465', 'Irish')"
206,"('256', 'Isabgul (Psyllium)')"
207,"('182', 'Jack Fruit')"
208,"('513', 'Jaee')"
209,"('406', 'Jaffri')"
210,"('151', 'Jaggery')"
211,"('175', 'Jamamkhan')"
212,"('184', 'Jamun(Narale Hannu)')"
213,"('376', 'Jarbara')"
214,"('229', 'Jasmine')"
215,"('250', 'Javi')"
216,"('5', 'Jowar(Sorghum)')"
217,"('16', 'Jute')"
218,"('210', 'Jute Seed')"
219,"('362', 'Kabuli Chana(Chickpeas-White)')"
220,"('317', 'Kacholam')"
221,"('230', 'Kakada')"
222,"('501', 'kakatan')"
223,"('456', 'Kalihari')"
224,"('457', 'Kalmegh')"
225,"('233', 'Kankambra')"
226,"('115', 'Karamani')"
227,"('439', 'karanja seeds')"
228,"('187', 'Karbuja(Musk Melon)')"
229,"('305', 'Kartali (Kantola)')"
230,"('481', 'Kevda')"
231,"('61', 'Kharif Mash')"
232,"('514', 'Khirni')"
233,"('372', 'Khoya')"
234,"('336', 'Kinnow')"
235,"('177', 'Knool Khol')"
236,"('117', 'Kodo Millet(Varagu)')"
237,"('458', 'kokum')"
238,"('459', 'Kooth')"
239,"('243', 'Kuchur')"
240,"('114', 'Kulthi(Horse Gram)')"
241,"('415', 'Kutki')"
242,"('426', 'kutki')"
243,"('155', 'Ladies Finger')"
244,"('515', 'Laha')"
245,"('96', 'Lak(Teora)')"
246,"('171', 'Leafy Vegetable')"
247,"('310', 'Lemon')"
248,"('63', 'Lentil (Masur)(Whole)')"
249,"('378', 'Lilly')"
250,"('180', 'Lime')"
251,"('470', 'Limonia (status)')"
252,"('67', 'Linseed')"
253,"('280', 'Lint')"
254,"('432', 'liquor turmeric')"
255,"('351', 'Litchi')"
256,"('302', 'Little gourd (Kundru)')"
257,"('304', 'Long Melon(Kakri)')"
258,"('403', 'Lotus')"
259,"('339', 'Lotus Sticks')"
260,"('337', 'Lukad')"
261,"('479', 'Lupine')"
262,"('504', 'Ma.Inji')"
263,"('107', 'Mace')"
264,"('427', 'macoy')"
265,"('411', 'Mahedi')"
266,"('335', 'Mahua')"
267,"('371', 'Mahua Seed(Hippe seed)')"
268,"('288', 'Maida Atta')"
